date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,yr_built
02-05-2014 00:00,313000,3,1.5,1340,7912,1.5,1955
02-05-2014 00:00,2384000,5,2.5,3650,9050,2,1921
02-05-2014 00:00,342000,3,2,1930,11947,1,1966
02-05-2014 00:00,420000,3,2.25,2000,8030,1,1963
02-05-2014 00:00,550000,4,2.5,1940,10500,1,1976
02-05-2014 00:00,490000,2,1,880,6380,1,1938
02-05-2014 00:00,335000,2,2,1350,2560,1,1976
02-05-2014 00:00,482000,4,2.5,2710,35868,2,1989
02-05-2014 00:00,452500,3,2.5,2430,88426,1,1985
02-05-2014 00:00,640000,4,2,1520,6200,1.5,1945
02-05-2014 00:00,463000,3,1.75,1710,7320,1,1948
02-05-2014 00:00,1400000,4,2.5,2920,4000,1.5,1909
02-05-2014 00:00,588500,3,1.75,2330,14892,1,1980
02-05-2014 00:00,365000,3,1,1090,6435,1,1955
02-05-2014 00:00,1200000,5,2.75,2910,9480,1.5,1939
02-05-2014 00:00,242500,3,1.5,1200,9720,1,1965
02-05-2014 00:00,419000,3,1.5,1570,6700,1,1956
02-05-2014 00:00,367500,4,3,3110,7231,2,1997
02-05-2014 00:00,257950,3,1.75,1370,5858,1,1987
02-05-2014 00:00,275000,3,1.5,1180,10277,1,1983
02-05-2014 00:00,750000,3,1.75,2240,10578,2,1923
02-05-2014 00:00,435000,4,1,1450,8800,1,1954
02-05-2014 00:00,626000,3,2.25,1750,1572,2.5,2005
02-05-2014 00:00,612500,4,2.5,2730,12261,2,1991
02-05-2014 00:00,495000,4,1.75,1600,6380,1,1959
02-05-2014 00:00,285000,3,2.5,2090,10834,1,1987
02-05-2014 00:00,615000,3,1.75,2360,7291,1,1948
02-05-2014 00:00,698000,4,2.25,2200,11250,1.5,1920
02-05-2014 00:00,675000,5,2.5,2820,67518,2,1979
02-05-2014 00:00,790000,3,2.5,2600,4750,1,1951
02-05-2014 00:00,382500,4,1.75,1560,8700,1,1967
02-05-2014 00:00,499950,4,2.5,2860,3345,2,2004
02-05-2014 00:00,650000,4,2,1820,5000,1.5,1945
02-05-2014 00:00,625000,4,2.5,2820,8408,2,2014
02-05-2014 00:00,400000,4,2.5,3630,42884,1.5,1979
02-05-2014 00:00,604000,3,2.5,3240,33151,2,1995
02-05-2014 00:00,440000,2,1,800,4850,1,1944
02-05-2014 00:00,287200,3,3,1850,19966,1,1992
02-05-2014 00:00,403000,3,2,1960,13100,1,1957
02-05-2014 00:00,750000,3,2.5,2390,6550,1,1955
02-05-2014 00:00,335000,3,2.25,1580,16215,1,1978
02-05-2014 00:00,260000,4,2,1480,8625,1,1974
02-05-2014 00:00,308500,2,1,850,6174,1,1950
02-05-2014 00:00,439950,3,2.5,1770,2875,2,1990
02-05-2014 00:00,235000,2,1,1210,9400,1,1949
02-05-2014 00:00,315000,3,1,1160,9180,1,1968
02-05-2014 00:00,437500,3,2.25,1970,35100,2,1977
02-05-2014 00:00,407500,3,2.5,1930,10460,2,1996
02-05-2014 00:00,445700,3,2.5,1270,1180,3,2001
02-05-2014 00:00,838000,4,2.5,3310,42998,2,2001
02-05-2014 00:00,630000,4,2.75,2710,37277,2,2000
02-05-2014 00:00,550000,3,1.75,2910,35200,1.5,1979
02-05-2014 00:00,805000,3,2,2710,4500,1.5,1929
02-05-2014 00:00,284000,3,1.75,1800,23103,1,1968
02-05-2014 00:00,470000,5,2.5,2210,9655,1,1976
02-05-2014 00:00,430000,4,1.5,1920,10000,1,1954
02-05-2014 00:00,491500,4,1.75,2190,125452,1,1968
02-05-2014 00:00,785000,5,3.25,3660,11995,2,2006
02-05-2014 00:00,385000,3,3.25,1320,1327,2,2008
02-05-2014 00:00,295000,2,2.5,1630,1368,2,2009
02-05-2014 00:00,555000,4,2.5,3310,6500,2,2012
02-05-2014 00:00,459990,3,2.5,2680,5539,2,2013
02-05-2014 00:00,625000,4,3.25,2730,54014,1,2007
02-05-2014 00:00,300000,3,2.5,2540,5050,2,2006
03-05-2014 00:00,625000,4,2.75,2920,6605,2,2012
03-05-2014 00:00,553000,2,1,900,5000,1,1944
03-05-2014 00:00,379880,3,2.5,1650,14054,1,1986
03-05-2014 00:00,310000,3,1,1010,9945,1,1973
04-05-2014 00:00,775000,2,2.5,2680,7392,1,2004
04-05-2014 00:00,365000,3,2.5,2200,7350,1,1988
04-05-2014 00:00,331950,4,2.5,2530,9933,2,1990
04-05-2014 00:00,783500,3,2.5,2850,7130,2,1980
04-05-2014 00:00,628000,4,2,2280,6010,1,1900
05-05-2014 00:00,560000,3,2.5,1900,8744,2,1987
05-05-2014 00:00,900000,3,1,1330,77972,1,1928
05-05-2014 00:00,531000,2,3,1270,1175,2,2000
05-05-2014 00:00,831000,4,3,2170,4000,2,1982
05-05-2014 00:00,780000,4,2.5,2730,10281,2,1996
05-05-2014 00:00,755000,4,2.5,2120,10202,1,1960
05-05-2014 00:00,705380,3,2.5,2490,4343,2,2003
05-05-2014 00:00,627000,4,2.25,1990,7712,1,1973
05-05-2014 00:00,865000,4,3,3690,9892,2,1998
05-05-2014 00:00,580000,2,1,2540,7000,1,1942
05-05-2014 00:00,410000,3,2.25,1800,36704,1,1978
05-05-2014 00:00,485000,4,3,2340,7048,1,1979
05-05-2014 00:00,400000,2,1.75,2110,9519,1,1948
05-05-2014 00:00,549000,2,1,1140,5400,1,1908
05-05-2014 00:00,620000,3,1.75,1480,2185,2.5,2005
05-05-2014 00:00,405000,2,3,1410,1240,2,2006
05-05-2014 00:00,232000,2,1,1200,8063,1,1958
05-05-2014 00:00,800866,5,2.5,3180,13806,2,1990
05-05-2014 00:00,650000,3,1.5,2160,9000,1,1949
05-05-2014 00:00,823000,6,1.75,2920,5000,2.5,1908
05-05-2014 00:00,770000,3,2,2350,5700,1.5,1939
05-05-2014 00:00,524000,3,1.75,1560,5520,1,1944
05-05-2014 00:00,541125,5,2.75,2740,8426,1,1960
05-05-2014 00:00,670000,3,2.5,1680,2000,3,1909
05-05-2014 00:00,384900,5,2.5,3090,12750,1,1968
05-05-2014 00:00,406100,3,2.25,1410,1332,3,2005
05-05-2014 00:00,1395000,5,3.5,4010,8510,2,1971
05-05-2014 00:00,736500,4,2.5,3180,21904,2,2000
05-05-2014 00:00,570000,3,2.25,2010,6000,1,1975
05-05-2014 00:00,787000,3,1.75,1330,7500,1,1961
05-05-2014 00:00,328000,4,2.5,2370,6500,2,1998
05-05-2014 00:00,435000,5,2,1840,9240,1,1942
05-05-2014 00:00,499000,4,2.5,2910,6479,2,2006
05-05-2014 00:00,501000,4,1,2070,7519,1,1963
05-05-2014 00:00,1090000,4,2.5,4340,141570,2.5,1992
05-05-2014 00:00,400000,2,1,840,5510,1,1955
05-05-2014 00:00,220000,4,1.5,1240,9600,1,1971
05-05-2014 00:00,657100,4,1,1390,4240,1,1924
05-05-2014 00:00,309950,4,2.75,2310,5000,2,2006
05-05-2014 00:00,300000,3,2,1050,10072,1,1986
05-05-2014 00:00,525888,5,1.75,2550,71874,1,1960
05-05-2014 00:00,740000,4,1.75,2010,3600,1.5,1902
05-05-2014 00:00,340000,5,1,1120,9022,1.5,1962
05-05-2014 00:00,398750,3,2.5,2230,4000,2,1954
05-05-2014 00:00,206000,2,1,810,7158,1,1944
05-05-2014 00:00,1030000,5,2.75,3190,16920,1,1976
05-05-2014 00:00,600000,3,1.75,1670,39639,1,1976
05-05-2014 00:00,379950,4,1.75,1970,9389,1,1960
05-05-2014 00:00,287000,3,1,1450,6000,1,1953
05-05-2014 00:00,2280000,7,8,13540,307752,3,1999
05-05-2014 00:00,309950,3,2.5,1880,7838,2,1994
05-05-2014 00:00,600000,3,1.75,1880,6360,1,1945
05-05-2014 00:00,418000,3,2,1410,6030,1.5,1930
05-05-2014 00:00,449250,4,2,1480,3844,1.5,1928
05-05-2014 00:00,329950,2,1,1140,5250,1.5,1949
05-05-2014 00:00,245000,3,1.75,1920,9306,1,1984
05-05-2014 00:00,549000,4,2.5,2910,6338,2,2008
05-05-2014 00:00,800000,3,2.5,3240,7857,2,1994
05-05-2014 00:00,249950,3,2,1550,15040,1,1958
05-05-2014 00:00,210000,5,2,2050,10200,1,1956
05-05-2014 00:00,1425000,2,2.5,2220,4000,2,2000
05-05-2014 00:00,585000,2,1,1770,8640,1.5,1949
05-05-2014 00:00,615000,4,1.75,2300,11700,1,1977
05-05-2014 00:00,618500,3,2,1800,5000,1,1942
05-05-2014 00:00,487585,4,1.75,2010,9211,1,1977
05-05-2014 00:00,509900,3,2.5,1790,2700,2,2010
05-05-2014 00:00,631625,4,2.5,2440,6651,2,2014
05-05-2014 00:00,555000,3,2.5,1940,3211,2,2009
05-05-2014 00:00,340000,2,1.5,1160,1438,2,2001
05-05-2014 00:00,830000,4,2.5,3400,9692,2,2007
05-05-2014 00:00,890000,4,4.25,4420,5750,2,2006
05-05-2014 00:00,366750,3,3,1571,2017,3,2008
05-05-2014 00:00,415000,3,2.25,1620,998,2.5,2010
05-05-2014 00:00,416286,3,2.5,1408,989,3,2005
05-05-2014 00:00,478000,3,2.5,3040,4535,2,2007
05-05-2014 00:00,890000,5,3.5,4490,6000,2,2006
05-05-2014 00:00,419190,2,2.5,1590,1426,2,2014
05-05-2014 00:00,712198,4,2.5,2450,4247,2,2013
06-05-2014 00:00,397000,4,2,1440,7680,1,1971
06-05-2014 00:00,450000,2,2,1100,3000,1.5,1912
06-05-2014 00:00,353000,3,1,1350,7740,1,1947
06-05-2014 00:00,609000,4,2.5,2150,37981,2,1985
06-05-2014 00:00,234000,3,1.75,1490,8366,1,1975
06-05-2014 00:00,561000,3,2,2000,7000,2,1916
06-05-2014 00:00,469000,2,1,1030,4400,1,1924
06-05-2014 00:00,329350,2,1,720,6687,1,1942
06-05-2014 00:00,488000,5,2,2020,5000,1.5,1938
06-05-2014 00:00,279900,3,1.75,1580,8151,1,1962
06-05-2014 00:00,606000,4,2.5,2110,13850,2,1987
06-05-2014 00:00,312000,4,2,1300,7054,1,1950
06-05-2014 00:00,650000,3,1.5,1630,7475,1,1940
06-05-2014 00:00,1135000,4,2.75,3370,8103,1,1970
06-05-2014 00:00,325000,4,2.5,1890,6156,1,1980
06-05-2014 00:00,425000,4,2,1520,7983,1,1967
06-05-2014 00:00,219000,2,1,900,5160,1,1952
06-05-2014 00:00,250000,3,1,1050,6874,1,1954
06-05-2014 00:00,390000,3,1.75,1260,6500,1,1966
06-05-2014 00:00,475000,6,3,3470,117612,1.5,1924
06-05-2014 00:00,736000,4,2.5,2290,12047,2,1988
06-05-2014 00:00,407000,4,2.25,2810,23400,1,1958
06-05-2014 00:00,272000,3,2.5,1650,13816,2,1998
06-05-2014 00:00,362000,3,2.25,1640,14374,1,1963
06-05-2014 00:00,535000,3,2.5,1850,10109,2,1991
06-05-2014 00:00,284000,4,2.5,2000,5390,2,2003
06-05-2014 00:00,367500,3,1.5,1410,9647,1,1961
06-05-2014 00:00,379900,4,1.75,1500,11600,1,1955
06-05-2014 00:00,520000,3,2.5,2460,54885,2,1980
06-05-2014 00:00,175000,3,1,1010,7034,1,1954
06-05-2014 00:00,460000,2,2.25,1230,929,2,2004
06-05-2014 00:00,345000,4,2.5,2331,3826,2,2007
06-05-2014 00:00,455000,5,2.5,2240,7770,1,1978
06-05-2014 00:00,610000,4,3,2450,10117,1,1967
06-05-2014 00:00,563000,4,3,3100,15480,2,1996
06-05-2014 00:00,612500,4,2,2060,5000,1,1949
06-05-2014 00:00,218000,3,1.75,1850,7684,1,1979
